DISTNUM,NAME,OBJECTID,Shape__Area,Shape__Length
7,Rick Jennings II,1,365128779.355469,120457.382976286
1,Lisa Kaplan,2,363351356.217773,117721.386548492
3,Karina Talamantes,3,290640369.871094,99015.3662308313
2,Roger Dickinson,4,444060216.427734,140622.890605902
4,Phil Pluckebaum,5,309903794.264648,90732.0245152861
6,Eric Guerra,6,469678222.297852,147079.660816452
8,Mai Vang,7,287892007.085938,119870.307989674
5,Caity Maple,8,274760663.475586,150055.87123639
